__________________________________________________________________________________________________________________
| Rank| Document ID| Document Score| Relevance Level| Precision          | Recall             | NDCG              |
| 22  | CACM-2423  | 0.2743894     | 0              | 0.18181818181818182| 0.36363636363636365| 0.538848194544549 |
| 23  | CACM-2374  | 0.27298835    | 0              | 0.17391304347826086| 0.36363636363636365| 0.538848194544549 |
| 24  | CACM-3005  | 0.26183242    | 0              | 0.16666666666666666| 0.36363636363636365| 0.538848194544549 |
| 25  | CACM-2033  | 0.26124457    | 0              | 0.16               | 0.36363636363636365| 0.538848194544549 |
| 26  | CACM-1651  | 0.24911706    | 0              | 0.15384615384615385| 0.36363636363636365| 0.538848194544549 |
| 27  | CACM-2611  | 0.24534898    | 0              | 0.14814814814814814| 0.36363636363636365| 0.538848194544549 |
| 28  | CACM-2858  | 0.24334013    | 0              | 0.14285714285714285| 0.36363636363636365| 0.538848194544549 |
| 29  | CACM-3053  | 0.24334013    | 0              | 0.13793103448275862| 0.36363636363636365| 0.538848194544549 |
| 30  | CACM-3054  | 0.24068223    | 0              | 0.13333333333333333| 0.36363636363636365| 0.538848194544549 |
| 31  | CACM-0267  | 0.24038294    | 0              | 0.12903225806451613| 0.36363636363636365| 0.538848194544549 |
| 32  | CACM-0230  | 0.23872676    | 0              | 0.125              | 0.36363636363636365| 0.538848194544549 |
| 33  | CACM-0797  | 0.23872676    | 0              | 0.12121212121212122| 0.36363636363636365| 0.538848194544549 |
| 34  | CACM-1064  | 0.23872676    | 0              | 0.11764705882352941| 0.36363636363636365| 0.538848194544549 |
| 35  | CACM-1289  | 0.23872676    | 0              | 0.11428571428571428| 0.36363636363636365| 0.538848194544549 |
| 36  | CACM-2856  | 0.23869252    | 0              | 0.1111111111111111 | 0.36363636363636365| 0.538848194544549 |
| 37  | CACM-2433  | 0.23437612    | 0              | 0.10810810810810811| 0.36363636363636365| 0.538848194544549 |
| 38  | CACM-1234  | 0.23171572    | 0              | 0.10526315789473684| 0.36363636363636365| 0.538848194544549 |
| 39  | CACM-2701  | 0.22340249    | 0              | 0.10256410256410256| 0.36363636363636365| 0.538848194544549 |
| 40  | CACM-1901  | 0.22280307    | 0              | 0.1                | 0.36363636363636365| 0.538848194544549 |
| 41  | CACM-0066  | 0.22071782    | 0              | 0.0975609756097561 | 0.36363636363636365| 0.538848194544549 |
| 42  | CACM-1757  | 0.21100664    | 0              | 0.09523809523809523| 0.36363636363636365| 0.538848194544549 |
| 43  | CACM-1542  | 0.2106169     | 0              | 0.09302325581395349| 0.36363636363636365| 0.538848194544549 |
| 44  | CACM-2133  | 0.21029912    | 0              | 0.09090909090909091| 0.36363636363636365| 0.538848194544549 |
| 45  | CACM-1275  | 0.20888591    | 0              | 0.08888888888888889| 0.36363636363636365| 0.538848194544549 |
| 46  | CACM-1414  | 0.20888591    | 0              | 0.08695652173913043| 0.36363636363636365| 0.538848194544549 |
| 47  | CACM-2835  | 0.20701885    | 0              | 0.0851063829787234 | 0.36363636363636365| 0.538848194544549 |
| 48  | CACM-0149  | 0.20604253    | 0              | 0.08333333333333333| 0.36363636363636365| 0.538848194544549 |
| 49  | CACM-1670  | 0.20255528    | 0              | 0.08163265306122448| 0.36363636363636365| 0.538848194544549 |
| 50  | CACM-1992  | 0.20255528    | 0              | 0.08               | 0.36363636363636365| 0.538848194544549 |
| 51  | CACM-2722  | 0.19925252    | 0              | 0.0784313725490196 | 0.36363636363636365| 0.538848194544549 |
| 52  | CACM-2745  | 0.19869836    | 0              | 0.07692307692307693| 0.36363636363636365| 0.538848194544549 |
| 53  | CACM-2734  | 0.19712423    | 0              | 0.07547169811320754| 0.36363636363636365| 0.538848194544549 |
| 54  | CACM-2530  | 0.18242602    | 0              | 0.07407407407407407| 0.36363636363636365| 0.538848194544549 |
| 55  | CACM-3129  | 0.17914577    | 0              | 0.07272727272727272| 0.36363636363636365| 0.538848194544549 |
| 56  | CACM-1065  | 0.17904507    | 0              | 0.07142857142857142| 0.36363636363636365| 0.538848194544549 |
| 57  | CACM-2586  | 0.17904507    | 0              | 0.07017543859649122| 0.36363636363636365| 0.538848194544549 |
| 58  | CACM-0048  | 0.17705749    | 0              | 0.06896551724137931| 0.36363636363636365| 0.538848194544549 |
| 59  | CACM-1362  | 0.17705749    | 0              | 0.06779661016949153| 0.36363636363636365| 0.538848194544549 |
| 60  | CACM-2711  | 0.1756262     | 0              | 0.06666666666666667| 0.36363636363636365| 0.538848194544549 |
| 61  | CACM-2078  | 0.1752548     | 0              | 0.06557377049180328| 0.36363636363636365| 0.538848194544549 |
| 62  | CACM-1807  | 0.17389299    | 1              | 0.08064516129032258| 0.45454545454545453| 0.5691443939201216|
| 63  | CACM-1223  | 0.16849889    | 1              | 0.09523809523809523| 0.5454545454545454 | 0.5993235926274753|
| 64  | CACM-1235  | 0.16849351    | 0              | 0.09375            | 0.5454545454545454 | 0.5993235926274753|
| 65  | CACM-3083  | 0.16805974    | 0              | 0.09230769230769231| 0.5454545454545454 | 0.5993235926274753|
| 66  | CACM-1369  | 0.16523181    | 0              | 0.09090909090909091| 0.5454545454545454 | 0.5993235926274753|
| 67  | CACM-1204  | 0.15765558    | 0              | 0.08955223880597014| 0.5454545454545454 | 0.5993235926274753|
| 68  | CACM-2645  | 0.15531684    | 0              | 0.08823529411764706| 0.5454545454545454 | 0.5993235926274753|
| 69  | CACM-2892  | 0.15143192    | 0              | 0.08695652173913043| 0.5454545454545454 | 0.5993235926274753|
| 70  | CACM-1708  | 0.14958504    | 0              | 0.08571428571428572| 0.5454545454545454 | 0.5993235926274753|
| 71  | CACM-0093  | 0.14920424    | 0              | 0.08450704225352113| 0.5454545454545454 | 0.5993235926274753|
| 72  | CACM-2389  | 0.14902377    | 0              | 0.08333333333333333| 0.5454545454545454 | 0.5993235926274753|
| 73  | CACM-2863  | 0.14902377    | 0              | 0.0821917808219178 | 0.5454545454545454 | 0.5993235926274753|
| 74  | CACM-1652  | 0.14447135    | 0              | 0.08108108108108109| 0.5454545454545454 | 0.5993235926274753|
| 75  | CACM-1676  | 0.14430216    | 0              | 0.08               | 0.5454545454545454 | 0.5993235926274753|
| 76  | CACM-2836  | 0.14363311    | 0              | 0.07894736842105263| 0.5454545454545454 | 0.5993235926274753|
| 77  | CACM-2524  | 0.1414585     | 0              | 0.07792207792207792| 0.5454545454545454 | 0.5993235926274753|
| 78  | CACM-1465  | 0.14062326    | 0              | 0.07692307692307693| 0.5454545454545454 | 0.5993235926274753|
| 79  | CACM-2126  | 0.13736169    | 0              | 0.0759493670886076 | 0.5454545454545454 | 0.5993235926274753|
| 80  | CACM-1523  | 0.13666514    | 0              | 0.075              | 0.5454545454545454 | 0.5993235926274753|
| 81  | CACM-2230  | 0.13616589    | 0              | 0.07407407407407407| 0.5454545454545454 | 0.5993235926274753|
| 82  | CACM-1331  | 0.13049494    | 0              | 0.07317073170731707| 0.5454545454545454 | 0.5993235926274753|
| 83  | CACM-2498  | 0.12899466    | 0              | 0.07228915662650602| 0.5454545454545454 | 0.5993235926274753|
| 84  | CACM-0794  | 0.12837844    | 0              | 0.07142857142857142| 0.5454545454545454 | 0.5993235926274753|
| 85  | CACM-2344  | 0.12832725    | 0              | 0.07058823529411765| 0.5454545454545454 | 0.5993235926274753|
| 86  | CACM-2950  | 0.12738775    | 0              | 0.06976744186046512| 0.5454545454545454 | 0.5993235926274753|
| 87  | CACM-0124  | 0.12612447    | 0              | 0.06896551724137931| 0.5454545454545454 | 0.5993235926274753|
| 88  | CACM-1551  | 0.12612447    | 1              | 0.07954545454545454| 0.6363636363636364 | 0.6272501238133315|
| 89  | CACM-1270  | 0.12610742    | 0              | 0.07865168539325842| 0.6363636363636364 | 0.6272501238133315|
| 90  | CACM-1352  | 0.12610742    | 0              | 0.07777777777777778| 0.6363636363636364 | 0.6272501238133315|
| 91  | CACM-1429  | 0.12610742    | 0              | 0.07692307692307693| 0.6363636363636364 | 0.6272501238133315|
| 92  | CACM-2365  | 0.12610742    | 0              | 0.07608695652173914| 0.6363636363636364 | 0.6272501238133315|
| 93  | CACM-2816  | 0.12418647    | 0              | 0.07526881720430108| 0.6363636363636364 | 0.6272501238133315|
| 94  | CACM-2249  | 0.12392385    | 0              | 0.07446808510638298| 0.6363636363636364 | 0.6272501238133315|
| 95  | CACM-1030  | 0.1231686     | 0              | 0.07368421052631578| 0.6363636363636364 | 0.6272501238133315|
| 96  | CACM-0693  | 0.12267449    | 0              | 0.07291666666666667| 0.6363636363636364 | 0.6272501238133315|
| 97  | CACM-1786  | 0.121533155   | 0              | 0.07216494845360824| 0.6363636363636364 | 0.6272501238133315|
| 98  | CACM-3175  | 0.121533155   | 0              | 0.07142857142857142| 0.6363636363636364 | 0.6272501238133315|
| 99  | CACM-3064  | 0.12141173    | 0              | 0.0707070707070707 | 0.6363636363636364 | 0.6272501238133315|
| 100 | CACM-0164  | 0.12103897    | 0              | 0.07               | 0.6363636363636364 | 0.6272501238133315|
